amount,bin,device_id,geo,label
438.45014772651416,123456,device_554,"(25.104065865001626, 66.95921304140683)",0.0
178.1526178019871,111111,device_6780,"(25.037533769731382, 66.9607476689058)",0.0
374.44379048843945,111111,device_3101,"(25.131175294991905, 67.05840662365058)",0.0
103.38838430949869,654321,device_7048,"(25.00245185568905, 67.05504993224076)",0.0
256.0534404793777,111111,device_2605,"(25.03590870114692, 67.00224039599291)",0.0
78.26585592908002,111111,device_6564,"(24.93723838982711, 67.13542014189338)",0.0
317.4369270095727,123456,device_2166,"(24.938980293421796, 66.98554971709726)",0.0
222.24662717521468,123456,device_2263,"(24.976503319103664, 67.07148635556972)",0.0
11.889874990969261,654321,device_2018,"(25.00426031809778, 67.00169058481157)",0.0
498.1160220292747,654321,device_5830,"(24.965457061408127, 67.0320480345208)",0.0
230.16069892088208,654321,device_2063,"(24.944652136720958, 67.04698432024549)",0.0
390.4550980516973,123456,device_6499,"(24.941063768173464, 67.05875777768874)",0.0
253.45697427305055,123456,device_5465,"(25.033520243168677, 66.99927872576575)",0.0
352.3116948432368,123456,device_5454,"(24.979179074554775, 67.0576605369976)",0.0
216.47174045878086,111111,device_5372,"(25.11626910283412, 67.03378438982953)",0.0
278.1604210957111,111111,device_533,"(24.949835212255252, 66.99113996346583)",0.0
259.52067152213203,111111,device_4541,"(24.97450996550237, 67.06090009218455)",0.0
323.50865689503325,123456,device_5573,"(24.93868701234107, 66.97449950406657)",0.0
477.0714626021025,123456,device_540,"(25.080717145845885, 66.97740131806937)",0.0
118.45624768728042,654321,device_5680,"(25.014956169466817, 66.98219569971694)",0.0
60.203239105048574,123456,device_3837,"(24.998800259832294, 67.01962700044)",0.0
204.81815332227865,111111,device_1127,"(25.011284253636997, 66.94550851845088)",0.0
94.82434257309265,654321,device_1897,"(24.997210350874308, 67.00260808362563)",0.0
251.257462214733,123456,device_3733,"(24.918367199672648, 66.94690410340762)",0.0
12.261723017986169,123456,device_7512,"(25.126168530883177, 66.98914434113135)",0.0
410.60365562230123,123456,device_5812,"(25.02687580458083, 67.02942804652542)",0.0
363.26397508266245,654321,device_1869,"(25.023043479801547, 67.02930402451565)",0.0
246.6704145205898,654321,device_2495,"(24.993181565017707, 66.96281261696465)",0.0
4.186549986699957,111111,device_1168,"(24.970350400297633, 67.03353249269757)",0.0
473.63356998722367,111111,device_3704,"(24.990762329951128, 66.99325045357664)",0.0
382.28369770286076,654321,device_6611,"(25.00630840672135, 67.04365536591249)",0.0
470.3793595938708,111111,device_7349,"(24.923854641129946, 66.9757080198439)",0.0
498.83845936906494,123456,device_5561,"(25.02614448192238, 67.12633363398486)",0.0
347.3811361814057,123456,device_2178,"(24.88573674890466, 66.95103926032628)",0.0
187.35551462121992,123456,device_3862,"(24.96909919234657, 67.03334353615188)",0.0
86.67525994501933,111111,device_3245,"(25.02677858309479, 67.0472163206935)",0.0
201.94915677628555,123456,device_4180,"(24.99045014140024, 66.98823968057732)",0.0
88.03022428863825,123456,device_4510,"(24.956003399582485, 67.04066001084436)",0.0
39.39964761297537,654321,device_1034,"(25.00434877049609, 67.02897602706841)",0.0
497.87149157361023,111111,device_4717,"(25.01104876841436, 66.95657340529316)",0.0
71.10900588796315,123456,device_7282,"(24.960737128214383, 66.94585352848792)",0.0
226.43207168987732,111111,device_1569,"(25.106071903602277, 67.06475144916071)",0.0
34.68377079522715,654321,device_3038,"(25.005040441539965, 67.05341837326459)",0.0
200.7779567930755,654321,device_5960,"(24.95359147237905, 67.01908418706377)",0.0
334.98839276538735,111111,device_6536,"(25.015127024202734, 66.9685499448849)",0.0
171.28098042910258,111111,device_4750,"(24.951521522103125, 66.9836852167587)",0.0
80.10159677967731,654321,device_7296,"(25.12416264759727, 66.87208955266348)",0.0
